Envi,Formula,rho,p,Group
WSOCbb,C21H36O6,-0.599,8.00E-04,Beijing
WSOCbb,C21H36O6S,0.246,0.2064,Beijing
WSOCbb,C21H36O7,-0.269,0.1665,Beijing
WSOCbb,C21H36O7S,0.304,0.1154,Beijing
WSOCbb,C21H36O8,-0.384,0.0438,Beijing
WSOCbb,C21H36O8S,0.645,2.00E-04,Beijing
WSOCbb,C21H36O9,-0.007,0.9713,Beijing
WSOCbb,C21H36O9S,0.599,8.00E-04,Beijing
WSOCbb,C21H37NO10,0.599,8.00E-04,Beijing
WSOCbb,C21H37NO10S,0.772,0,Beijing
WSOCbb,C21H37NO11S,0.766,0,Beijing
WSOCbb,C21H37NO12S,0.718,0,Beijing
WSOCbb,C21H37NO4S,0.718,0,Beijing
WSOCbb,C21H37NO5,0.718,0,Beijing
WSOCbb,C21H37NO5S,0.718,0,Beijing
WSOCbb,C21H37NO6,0.718,0,Beijing
WSOCbb,C21H37NO6S,0.718,0,Beijing
WSOCbb,C21H37NO7,0.718,0,Beijing
WSOCbb,C21H37NO7S,0.493,0.0077,Beijing
WSOCbb,C21H37NO8,0.493,0.0077,Beijing
WSOCbb,C21H37NO8S,0.674,1.00E-04,Beijing
WSOCbb,C21H37NO9,0.674,1.00E-04,Beijing
WSOCbb,C21H37NO9S,0.784,0,Beijing
WSOCbb,C21H38N2O6,0.784,0,Beijing
WSOCbb,C21H38N2O7,0.784,0,Beijing
WSOCbb,C21H38O10S,0.852,0,Beijing
WSOCbb,C21H38O11S,0.596,8.00E-04,Beijing
WSOCbb,C21H38O3,-0.821,0,Beijing
WSOCbb,C21H38O5,-0.519,0.0047,Beijing
WSOCbb,C21H38O5S,0.062,0.7527,Beijing
WSOCbb,C21H38O6,0.062,0.7527,Beijing
WSOCbb,C21H38O6S,0.378,0.0472,Beijing
WSOCbb,C21H38O7,-0.388,0.0413,Beijing
WSOCbb,C21H38O7S,0.533,0.0035,Beijing
WSOCbb,C21H38O8,0.533,0.0035,Beijing
WSOCbb,C21H38O8S,0.789,0,Beijing
WSOCbb,C21H38O9S,0.747,0,Beijing
WSOCbb,C21H39NO10S,0.802,0,Beijing
WSOCbb,C21H39NO11S,0.764,0,Beijing
WSOCbb,C21H39NO12S,0.764,0,Beijing
WSOCbb,C21H39NO3,0.764,0,Beijing
WSOCbb,C21H39NO4,0.764,0,Beijing
WSOCbb,C21H39NO5S,-0.494,0.0076,Beijing
WSOCbb,C21H39NO6,-0.494,0.0076,Beijing
WSOCbb,C21H39NO6S,-0.494,0.0076,Beijing
WSOCbb,C21H39NO8S,0.7,0,Beijing
WSOCbb,C21H39NO9S,0.758,0,Beijing
WSOCbb,C21H40O10S,0.758,0,Beijing
WSOCbb,C21H40O2,0.758,0,Beijing
WSOCbb,C21H40O5,0.758,0,Beijing
WSOCbb,C21H40O5S,0.199,0.3094,Beijing
WSOCbb,C21H40O6,-0.771,0,Beijing
WSOCbb,C21H40O6S,0.48,0.0097,Beijing
WSOCbb,C21H40O7S,0.672,1.00E-04,Beijing
WSOCbb,C21H40O8S,0.776,0,Beijing
WSOCbb,C21H40O9S,0.765,0,Beijing
WSOCbb,C21H41NO10S,0.722,0,Beijing
WSOCbb,C21H41NO11S,0.722,0,Beijing
WSOCbb,C21H41NO4S,0.722,0,Beijing
WSOCbb,C21H41NO5,0.722,0,Beijing
WSOCbb,C21H41NO5S,0.722,0,Beijing
WSOCbb,C21H41NO7S,0.722,0,Beijing
WSOCbb,C21H41NO8S,0.634,3.00E-04,Beijing
WSOCbb,C21H41NO9S,0.761,0,Beijing
WSOCbb,C21H42O3,-0.824,0,Beijing
WSOCbb,C21H42O4,-0.824,0,Beijing
WSOCbb,C21H42O4S,-0.295,0.1275,Beijing
WSOCbb,C21H42O5S,0.001,0.9978,Beijing
WSOCbb,C21H42O6,0.001,0.9978,Beijing
WSOCbb,C21H42O6S,0.545,0.0027,Beijing
WSOCbb,C21H42O7S,0.47,0.0117,Beijing
WSOCbb,C21H42O8S,0.692,0,Beijing
WSOCbb,C21H43NO6S,0.692,0,Beijing
WSOCbb,C21H43NO8S,0.692,0,Beijing
WSOCbb,C21H43NO9S,0.692,0,Beijing
WSOCbb,C21H44O4S,0.692,0,Beijing
WSOCbb,C21H44O5S,0.692,0,Beijing
WSOCbb,C21H44O6S,0.692,0,Beijing
WSOCbb,C21H44O8,0.692,0,Beijing
WSOCbb,C21H8N4O,0.692,0,Beijing
WSOCbb,C22H12O5,-0.385,0.0429,Beijing
WSOCbb,C22H12O6,0.312,0.1055,Beijing
WSOCbb,C22H12O7,-0.355,0.0634,Beijing
WSOCbb,C22H12O8,0.738,0,Beijing
WSOCbb,C22H13N3O5,0.738,0,Beijing
WSOCbb,C22H13NO3,0.738,0,Beijing
WSOCbb,C22H13NO7,0.523,0.0043,Beijing
WSOCbb,C22H13NO8,0.626,4.00E-04,Beijing
WSOCbb,C22H14O2,0.626,4.00E-04,Beijing
WSOCbb,C22H14O3,-0.768,0,Beijing
WSOCbb,C22H14O4,-0.768,0,Beijing
WSOCbb,C22H14O5,-0.768,0,Beijing
WSOCbb,C22H14O6,-0.768,0,Beijing
WSOCbb,C22H14O6S,-0.768,0,Beijing
WSOCbb,C22H14O7,0.544,0.0028,Beijing
WSOCbb,C22H14O7S,0.544,0.0028,Beijing
WSOCbb,C22H14O8,0.673,1.00E-04,Beijing
WSOCbb,C22H14O9,0.412,0.0292,Beijing
WSOCbb,C22H15N3O5,0.412,0.0292,Beijing
WSOCbb,C22H15NO2,0.412,0.0292,Beijing
WSOCbb,C22H15NO3,0.412,0.0292,Beijing
WSOCbb,C22H15NO4,-0.544,0.0028,Beijing
WSOCbb,C22H15NO5,-0.801,0,Beijing
WSOCbb,C22H15NO5S,-0.801,0,Beijing
WSOCbb,C22H15NO6S,-0.801,0,Beijing
WSOCbb,C22H15NO7,0.161,0.4133,Beijing
WSOCbb,C22H15NO8,0.287,0.1389,Beijing
WSOCbb,C22H15NO9,0.751,0,Beijing
WSOCbb,C22H16O10,0.796,0,Beijing
WSOCbb,C22H16O2,0.796,0,Beijing
WSOCbb,C22H16O2S2,0.796,0,Beijing
WSOCbb,C22H16O4,-0.794,0,Beijing
WSOCbb,C22H16O4S,-0.794,0,Beijing
WSOCbb,C22H16O5,-0.687,1.00E-04,Beijing
WSOCbb,C22H16O5S,-0.687,1.00E-04,Beijing
WSOCbb,C22H16O6,0.075,0.7039,Beijing
WSOCbb,C22H16O6S,0.075,0.7039,Beijing
WSOCbb,C22H16O7,-0.39,0.0402,Beijing
WSOCbb,C22H16O7S,0.121,0.5404,Beijing
WSOCbb,C22H16O8,0.607,6.00E-04,Beijing
WSOCbb,C22H16O8S,0.196,0.3177,Beijing
WSOCbb,C22H16O9,0.58,0.0012,Beijing
WSOCbb,C22H16O9S,0.58,0.0012,Beijing
WSOCbb,C22H17NO10,0.824,0,Beijing
WSOCbb,C22H17NO11,0.824,0,Beijing
WSOCbb,C22H17NO4,-0.81,0,Beijing
WSOCbb,C22H17NO4S,-0.81,0,Beijing
WSOCbb,C22H17NO5,-0.721,0,Beijing
WSOCbb,C22H17NO5S,-0.721,0,Beijing
WSOCbb,C22H17NO6,-0.721,0,Beijing
WSOCbb,C22H17NO6S,-0.721,0,Beijing
WSOCbb,C22H17NO7,-0.305,0.1147,Beijing
WSOCbb,C22H17NO7S,-0.305,0.1147,Beijing
WSOCbb,C22H17NO8,0.32,0.0973,Beijing
WSOCbb,C22H17NO8S,0.32,0.0973,Beijing
WSOCbb,C22H17NO9,0.546,0.0027,Beijing
WSOCbb,C22H17NO9S,0.546,0.0027,Beijing
WSOCbb,C22H18N2O2S,-0.277,0.1542,Beijing
WSOCbb,C22H18N2O6,-0.071,0.7211,Beijing
WSOCbb,C22H18N2O7,-0.068,0.7292,Beijing
WSOCbb,C22H18N2O8,0.54,0.003,Beijing
WSOCbb,C22H18O10,0.523,0.0043,Beijing
WSOCbb,C22H18O10S,0.602,7.00E-04,Beijing
WSOCbb,C22H18O3,-0.578,0.0013,Beijing
WSOCbb,C22H18O4,-0.373,0.0506,Beijing
WSOCbb,C22H18O5,-0.569,0.0016,Beijing
WSOCbb,C22H18O5S,-0.569,0.0016,Beijing
WSOCbb,C22H18O6,-0.517,0.0049,Beijing
WSOCbb,C22H18O6S,-0.263,0.177,Beijing
WSOCbb,C22H18O7,-0.263,0.177,Beijing
WSOCbb,C22H18O7S,-0.009,0.9657,Beijing
WSOCbb,C22H18O8,0.504,0.0063,Beijing
WSOCbb,C22H18O8S,0.135,0.4948,Beijing
WSOCbb,C22H18O9,0.589,0.001,Beijing
WSOCbb,C22H18O9S,0.577,0.0013,Beijing
WSOCbb,C22H19NO10,0.766,0,Beijing
WSOCbb,C22H19NO10S,0.766,0,Beijing
WSOCbb,C22H19NO11,0.732,0,Beijing
WSOCbb,C22H19NO12,0.732,0,Beijing
WSOCbb,C22H19NO3,-0.786,0,Beijing
WSOCbb,C22H19NO4,-0.786,0,Beijing
WSOCbb,C22H19NO4S,-0.786,0,Beijing
WSOCbb,C22H19NO5,-0.786,0,Beijing
WSOCbb,C22H19NO5S,-0.786,0,Beijing
WSOCbb,C22H19NO6S,-0.786,0,Beijing
WSOCbb,C22H19NO7,-0.516,0.005,Beijing
WSOCbb,C22H19NO7S,-0.516,0.005,Beijing
WSOCbb,C22H19NO8,0.159,0.4198,Beijing
WSOCbb,C22H19NO8S,0.159,0.4198,Beijing
WSOCbb,C22H19NO9,0.608,6.00E-04,Beijing
WSOCbb,C22H19NO9S,0.608,6.00E-04,Beijing
WSOCbb,C22H20N2O5,0.608,6.00E-04,Beijing
WSOCbb,C22H20N2O6,-0.212,0.278,Beijing
WSOCbb,C22H20N2O6S,-0.212,0.278,Beijing
WSOCbb,C22H20N2O7,-0.263,0.1759,Beijing
WSOCbb,C22H20N2O7S,-0.263,0.1759,Beijing
WSOCbb,C22H20N2O8,0.209,0.2852,Beijing
WSOCbb,C22H20N2O8S,0.209,0.2852,Beijing
WSOCbb,C22H20N2O9,0.499,0.0068,Beijing
WSOCbb,C22H20O10,0.134,0.4961,Beijing
WSOCbb,C22H20O10S,0.647,2.00E-04,Beijing
WSOCbb,C22H20O11,0.678,1.00E-04,Beijing
WSOCbb,C22H20O12,0.678,1.00E-04,Beijing
WSOCbb,C22H20O3,-0.452,0.0159,Beijing
WSOCbb,C22H20O4,-0.702,0,Beijing
WSOCbb,C22H20O4S,-0.702,0,Beijing
WSOCbb,C22H20O5,-0.522,0.0044,Beijing
WSOCbb,C22H20O6,-0.522,0.0044,Beijing
WSOCbb,C22H20O6S,-0.697,0,Beijing
WSOCbb,C22H20O7,0.249,0.2013,Beijing
WSOCbb,C22H20O7S,-0.458,0.0142,Beijing
WSOCbb,C22H20O8,0.495,0.0074,Beijing
WSOCbb,C22H20O8S,0.262,0.1774,Beijing
WSOCbb,C22H20O9,0.39,0.0402,Beijing
WSOCbb,C22H20O9S,0.507,0.0059,Beijing
WSOCbb,C22H21NO10,0.64,2.00E-04,Beijing
WSOCbb,C22H21NO10S,0.64,2.00E-04,Beijing
WSOCbb,C22H21NO11,0.747,0,Beijing
WSOCbb,C22H21NO12,0.747,0,Beijing
WSOCbb,C22H21NO4,0.747,0,Beijing
WSOCbb,C22H21NO5S,0.747,0,Beijing
WSOCbb,C22H21NO6,-0.547,0.0026,Beijing
WSOCbb,C22H21NO6S,-0.547,0.0026,Beijing
WSOCbb,C22H21NO7,-0.622,4.00E-04,Beijing
WSOCbb,C22H21NO7S,-0.094,0.6328,Beijing
WSOCbb,C22H21NO8,-0.219,0.2618,Beijing
WSOCbb,C22H21NO8S,0.317,0.1005,Beijing
WSOCbb,C22H21NO9,0.473,0.0109,Beijing
WSOCbb,C22H21NO9S,0.536,0.0033,Beijing
WSOCbb,C22H22N2O10,0.536,0.0033,Beijing
WSOCbb,C22H22N2O6,-0.556,0.0021,Beijing
WSOCbb,C22H22N2O6S,-0.556,0.0021,Beijing
WSOCbb,C22H22N2O7,-0.301,0.1193,Beijing
WSOCbb,C22H22N2O7S,-0.301,0.1193,Beijing
WSOCbb,C22H22N2O8,0.073,0.712,Beijing
WSOCbb,C22H22N2O8S,0.073,0.712,Beijing
WSOCbb,C22H22N2O9,0.542,0.0029,Beijing
WSOCbb,C22H22N2O9S,0.542,0.0029,Beijing
WSOCbb,C22H22O10,0.082,0.678,Beijing
WSOCbb,C22H22O10S,0.297,0.1248,Beijing
WSOCbb,C22H22O11,0.038,0.8493,Beijing
WSOCbb,C22H22O11S,0.038,0.8493,Beijing
WSOCbb,C22H22O12,0.038,0.8493,Beijing
WSOCbb,C22H22O2,0.038,0.8493,Beijing
WSOCbb,C22H22O3,0.038,0.8493,Beijing
WSOCbb,C22H22O4,-0.836,0,Beijing
WSOCbb,C22H22O4S,-0.836,0,Beijing
WSOCbb,C22H22O4S2,-0.836,0,Beijing
WSOCbb,C22H22O5,-0.69,0,Beijing
WSOCbb,C22H22O5S,-0.69,0,Beijing
WSOCbb,C22H22O6S,-0.594,9.00E-04,Beijing
WSOCbb,C22H22O7,-0.066,0.7377,Beijing
WSOCbb,C22H22O7S,-0.519,0.0046,Beijing
WSOCbb,C22H22O8,0.152,0.4395,Beijing
WSOCbb,C22H22O8S,0.403,0.0334,Beijing
WSOCbb,C22H22O9,0.047,0.8122,Beijing
WSOCbb,C22H22O9S,0.638,3.00E-04,Beijing
WSOCbb,C22H23NO10,0.403,0.0335,Beijing
WSOCbb,C22H23NO10S,0.403,0.0335,Beijing
WSOCbb,C22H23NO11,0.104,0.597,Beijing
WSOCbb,C22H23NO11S,0.104,0.597,Beijing
WSOCbb,C22H23NO12,0.104,0.597,Beijing
WSOCbb,C22H23NO13,0.104,0.597,Beijing
WSOCbb,C22H23NO3,0.009,0.9623,Beijing
WSOCbb,C22H23NO4S,0.009,0.9623,Beijing
WSOCbb,C22H23NO5,-0.479,0.0099,Beijing
WSOCbb,C22H23NO5S,-0.479,0.0099,Beijing
WSOCbb,C22H23NO6S,-0.479,0.0099,Beijing
WSOCbb,C22H23NO7,-0.62,4.00E-04,Beijing
WSOCbb,C22H23NO7S,-0.62,4.00E-04,Beijing
WSOCbb,C22H23NO8,-0.267,0.1694,Beijing
WSOCbb,C22H23NO8S,0.351,0.067,Beijing
WSOCbb,C22H23NO9,0.22,0.2606,Beijing
WSOCbb,C22H23NO9S,0.332,0.0839,Beijing
WSOCbb,C22H24N2O10,0.332,0.0839,Beijing
WSOCbb,C22H24N2O10S,0.332,0.0839,Beijing
WSOCbb,C22H24N2O6,-0.693,0,Beijing
WSOCbb,C22H24N2O6S,-0.693,0,Beijing
WSOCbb,C22H24N2O7,-0.499,0.0069,Beijing
WSOCbb,C22H24N2O7S,-0.499,0.0069,Beijing
WSOCbb,C22H24N2O8,0.071,0.7208,Beijing
WSOCbb,C22H24N2O8S,0.071,0.7208,Beijing
WSOCbb,C22H24N2O9,0.221,0.2594,Beijing
WSOCbb,C22H24N2O9S,0.221,0.2594,Beijing
WSOCbb,C22H24O10,-0.162,0.4116,Beijing
WSOCbb,C22H24O10S,0.69,0,Beijing
WSOCbb,C22H24O11,0.513,0.0053,Beijing
WSOCbb,C22H24O11S,0.513,0.0053,Beijing
WSOCbb,C22H24O12,0.513,0.0053,Beijing
WSOCbb,C22H24O3,-0.832,0,Beijing
WSOCbb,C22H24O4,-0.448,0.0169,Beijing
WSOCbb,C22H24O5,-0.448,0.0169,Beijing
WSOCbb,C22H24O5S,-0.448,0.0169,Beijing
WSOCbb,C22H24O6,-0.448,0.0169,Beijing
WSOCbb,C22H24O6S,-0.448,0.0169,Beijing
WSOCbb,C22H24O7,-0.437,0.0201,Beijing
WSOCbb,C22H24O7S,-0.223,0.2548,Beijing
WSOCbb,C22H24O8,-0.229,0.2402,Beijing
WSOCbb,C22H24O8S,0.375,0.0492,Beijing
WSOCbb,C22H24O9,-0.302,0.118,Beijing
WSOCbb,C22H24O9S,0.381,0.0453,Beijing
WSOCbb,C22H25N3O7,0.381,0.0453,Beijing
WSOCbb,C22H25NO10,0.083,0.6757,Beijing
WSOCbb,C22H25NO10S,0.083,0.6757,Beijing
WSOCbb,C22H25NO11,0.48,0.0098,Beijing
WSOCbb,C22H25NO11S,0.48,0.0098,Beijing
WSOCbb,C22H25NO12,0.48,0.0098,Beijing
WSOCbb,C22H25NO4,-0.585,0.0011,Beijing
WSOCbb,C22H25NO4S,-0.585,0.0011,Beijing
WSOCbb,C22H25NO5,-0.762,0,Beijing
WSOCbb,C22H25NO5S,-0.762,0,Beijing
WSOCbb,C22H25NO6,-0.609,6.00E-04,Beijing
WSOCbb,C22H25NO6S,-0.609,6.00E-04,Beijing
WSOCbb,C22H25NO7,-0.616,5.00E-04,Beijing
WSOCbb,C22H25NO7S,-0.616,5.00E-04,Beijing
WSOCbb,C22H25NO8,-0.369,0.053,Beijing
WSOCbb,C22H25NO8S,-0.369,0.053,Beijing
WSOCbb,C22H25NO9,-0.14,0.477,Beijing
WSOCbb,C22H25NO9S,0.471,0.0114,Beijing
WSOCbb,C22H26N2O10,0.471,0.0114,Beijing
WSOCbb,C22H26N2O6,-0.391,0.0398,Beijing
WSOCbb,C22H26N2O6S,-0.391,0.0398,Beijing
WSOCbb,C22H26N2O7,0.087,0.66,Beijing
WSOCbb,C22H26N2O7S,0.087,0.66,Beijing
WSOCbb,C22H26N2O8,0.421,0.0257,Beijing
WSOCbb,C22H26N2O8S,0.421,0.0257,Beijing
WSOCbb,C22H26N2O9,0.421,0.0257,Beijing
WSOCbb,C22H26N2O9S,0.421,0.0257,Beijing
WSOCbb,C22H26O10,0.177,0.3664,Beijing
WSOCbb,C22H26O10S,0.538,0.0031,Beijing
WSOCbb,C22H26O11,0.37,0.0529,Beijing
WSOCbb,C22H26O11S,0.37,0.0529,Beijing
WSOCbb,C22H26O12,0.37,0.0529,Beijing
WSOCbb,C22H26O3,0.37,0.0529,Beijing
WSOCbb,C22H26O4,-0.864,0,Beijing
WSOCbb,C22H26O5,-0.772,0,Beijing
WSOCbb,C22H26O5S,-0.772,0,Beijing
WSOCbb,C22H26O6S,-0.772,0,Beijing
WSOCbb,C22H26O7,-0.772,0,Beijing
WSOCbb,C22H26O7S,-0.4,0.0349,Beijing
WSOCbb,C22H26O8,-0.336,0.0809,Beijing
WSOCbb,C22H26O8S,0.427,0.0235,Beijing
WSOCbb,C22H26O9,-0.106,0.5927,Beijing
WSOCbb,C22H26O9S,0.807,0,Beijing
WSOCbb,C22H26S,0.807,0,Beijing
WSOCbb,C22H27NO10,0.38,0.0462,Beijing
WSOCbb,C22H27NO10S,0.38,0.0462,Beijing
WSOCbb,C22H27NO11,0.529,0.0038,Beijing
WSOCbb,C22H27NO11S,0.529,0.0038,Beijing
WSOCbb,C22H27NO12,0.529,0.0038,Beijing
WSOCbb,C22H27NO4,0.529,0.0038,Beijing
WSOCbb,C22H27NO4S,0.529,0.0038,Beijing
WSOCbb,C22H27NO5S,0.529,0.0038,Beijing
WSOCbb,C22H27NO6,-0.202,0.3035,Beijing
WSOCbb,C22H27NO6S,-0.202,0.3035,Beijing
WSOCbb,C22H27NO7,-0.486,0.0087,Beijing
WSOCbb,C22H27NO7S,-0.486,0.0087,Beijing
WSOCbb,C22H27NO8,-0.55,0.0025,Beijing
WSOCbb,C22H27NO8S,-0.55,0.0025,Beijing
WSOCbb,C22H27NO9,-0.021,0.9141,Beijing
WSOCbb,C22H27NO9S,-0.021,0.9141,Beijing
WSOCbb,C22H28N2O6,-0.111,0.5724,Beijing
WSOCbb,C22H28N2O7,0.258,0.1849,Beijing
WSOCbb,C22H28N2O7S,0.258,0.1849,Beijing
WSOCbb,C22H28N2O8,0.258,0.1849,Beijing
WSOCbb,C22H28N2O8S,0.258,0.1849,Beijing
WSOCbb,C22H28N2O9,0.258,0.1849,Beijing
WSOCbb,C22H28O10,0.046,0.8163,Beijing
WSOCbb,C22H28O10S,0.54,0.003,Beijing
WSOCbb,C22H28O11,0.327,0.0893,Beijing
WSOCbb,C22H28O11S,0.327,0.0893,Beijing
WSOCbb,C22H28O12,0.327,0.0893,Beijing
WSOCbb,C22H28O4,-0.785,0,Beijing
WSOCbb,C22H28O4S,-0.785,0,Beijing
WSOCbb,C22H28O5S,-0.785,0,Beijing
WSOCbb,C22H28O6,-0.785,0,Beijing
WSOCbb,C22H28O6S,-0.785,0,Beijing
WSOCbb,C22H28O7,-0.494,0.0075,Beijing
WSOCbb,C22H28O7S,-0.061,0.7572,Beijing
WSOCbb,C22H28O8,-0.304,0.1154,Beijing
WSOCbb,C22H28O8S,0.39,0.0402,Beijing
WSOCbb,C22H28O9,-0.296,0.1268,Beijing
WSOCbb,C22H28O9S,0.545,0.0027,Beijing
WSOCbb,C22H28S,0.545,0.0027,Beijing
WSOCbb,C22H29N3O,0.545,0.0027,Beijing
WSOCbb,C22H29N3O4,0.545,0.0027,Beijing
WSOCbb,C22H29N3O6,0.545,0.0027,Beijing
WSOCbb,C22H29NO10,0.44,0.0191,Beijing
WSOCbb,C22H29NO10S,0.44,0.0191,Beijing
WSOCbb,C22H29NO11,0.631,3.00E-04,Beijing
WSOCbb,C22H29NO11S,0.631,3.00E-04,Beijing
WSOCbb,C22H29NO12,0.631,3.00E-04,Beijing
WSOCbb,C22H29NO12S,0.631,3.00E-04,Beijing
WSOCbb,C22H29NO4,0.631,3.00E-04,Beijing
WSOCbb,C22H29NO4S,0.631,3.00E-04,Beijing
WSOCbb,C22H29NO5,0.631,3.00E-04,Beijing
WSOCbb,C22H29NO5S,0.631,3.00E-04,Beijing
WSOCbb,C22H29NO6,-0.517,0.0048,Beijing
WSOCbb,C22H29NO6S,-0.517,0.0048,Beijing
WSOCbb,C22H29NO7,-0.564,0.0018,Beijing
WSOCbb,C22H29NO7S,-0.564,0.0018,Beijing
WSOCbb,C22H29NO8,-0.419,0.0264,Beijing
WSOCbb,C22H29NO8S,0.393,0.0388,Beijing
WSOCbb,C22H29NO9,0.16,0.4149,Beijing
WSOCbb,C22H29NO9S,0.667,1.00E-04,Beijing
WSOCbb,C22H30N2O10,0.667,1.00E-04,Beijing
WSOCbb,C22H30N2O6,0.667,1.00E-04,Beijing
WSOCbb,C22H30N2O7,0.667,1.00E-04,Beijing
WSOCbb,C22H30N2O7S,0.667,1.00E-04,Beijing
WSOCbb,C22H30N2O8,0.667,1.00E-04,Beijing
WSOCbb,C22H30N2O9,0.667,1.00E-04,Beijing
WSOCbb,C22H30O10,-0.16,0.4159,Beijing
WSOCbb,C22H30O10S,0.691,0,Beijing
WSOCbb,C22H30O11,0.034,0.8624,Beijing
WSOCbb,C22H30O11S,0.034,0.8624,Beijing
WSOCbb,C22H30O3,-0.834,0,Beijing
WSOCbb,C22H30O5,-0.834,0,Beijing
WSOCbb,C22H30O5S,-0.834,0,Beijing
WSOCbb,C22H30O6S,-0.834,0,Beijing
WSOCbb,C22H30O7,-0.563,0.0018,Beijing
WSOCbb,C22H30O7S,0.435,0.0208,Beijing
WSOCbb,C22H30O8,-0.366,0.0553,Beijing
WSOCbb,C22H30O8S,0.652,2.00E-04,Beijing
WSOCbb,C22H30O9,-0.304,0.1161,Beijing
WSOCbb,C22H30O9S,0.557,0.0021,Beijing
WSOCbb,C22H30S,0.557,0.0021,Beijing
WSOCbb,C22H31NO10,0.379,0.0469,Beijing
WSOCbb,C22H31NO10S,0.436,0.0204,Beijing
WSOCbb,C22H31NO11,0.436,0.0204,Beijing
WSOCbb,C22H31NO11S,0.436,0.0204,Beijing
WSOCbb,C22H31NO12,0.436,0.0204,Beijing
WSOCbb,C22H31NO12S,0.436,0.0204,Beijing
WSOCbb,C22H31NO4S,0.436,0.0204,Beijing
WSOCbb,C22H31NO5,-0.39,0.0402,Beijing
WSOCbb,C22H31NO5S,-0.39,0.0402,Beijing
WSOCbb,C22H31NO6,-0.484,0.009,Beijing
WSOCbb,C22H31NO6S,-0.484,0.009,Beijing
WSOCbb,C22H31NO7,-0.189,0.3344,Beijing
WSOCbb,C22H31NO7S,0.574,0.0014,Beijing
WSOCbb,C22H31NO8,-0.182,0.3533,Beijing
WSOCbb,C22H31NO8S,0.53,0.0037,Beijing
WSOCbb,C22H31NO9,0.068,0.7292,Beijing
WSOCbb,C22H31NO9S,0.533,0.0035,Beijing
WSOCbb,C22H32N2O5S2,0.533,0.0035,Beijing
WSOCbb,C22H32N2O6,0.533,0.0035,Beijing
WSOCbb,C22H32N2O7,0.533,0.0035,Beijing
WSOCbb,C22H32N2O8,0.533,0.0035,Beijing
WSOCbb,C22H32O10,-0.36,0.0596,Beijing
WSOCbb,C22H32O10S,0.74,0,Beijing
WSOCbb,C22H32O11,-0.173,0.3784,Beijing
WSOCbb,C22H32O11S,-0.173,0.3784,Beijing
WSOCbb,C22H32O12,-0.173,0.3784,Beijing
WSOCbb,C22H32O3,-0.173,0.3784,Beijing
WSOCbb,C22H32O4S,-0.173,0.3784,Beijing
WSOCbb,C22H32O5,-0.173,0.3784,Beijing
WSOCbb,C22H32O5S,-0.173,0.3784,Beijing
WSOCbb,C22H32O6,-0.704,0,Beijing
WSOCbb,C22H32O6S,0.503,0.0063,Beijing
WSOCbb,C22H32O7,-0.561,0.0019,Beijing
WSOCbb,C22H32O7S,0.413,0.0288,Beijing
WSOCbb,C22H32O8,-0.44,0.0193,Beijing
WSOCbb,C22H32O8S,0.574,0.0014,Beijing
WSOCbb,C22H32O9,-0.317,0.0997,Beijing
WSOCbb,C22H32O9S,0.59,9.00E-04,Beijing
WSOCbb,C22H33NO10,0.125,0.5255,Beijing
WSOCbb,C22H33NO10S,0.604,7.00E-04,Beijing
WSOCbb,C22H33NO11,0.604,7.00E-04,Beijing
WSOCbb,C22H33NO11S,0.604,7.00E-04,Beijing
WSOCbb,C22H33NO12,0.604,7.00E-04,Beijing
WSOCbb,C22H33NO12S,0.604,7.00E-04,Beijing
WSOCbb,C22H33NO13,0.604,7.00E-04,Beijing
WSOCbb,C22H33NO4S,0.604,7.00E-04,Beijing
WSOCbb,C22H33NO5,-0.346,0.0715,Beijing
WSOCbb,C22H33NO5S,-0.346,0.0715,Beijing
WSOCbb,C22H33NO6,-0.339,0.0776,Beijing
WSOCbb,C22H33NO6S,-0.339,0.0776,Beijing
WSOCbb,C22H33NO7,-0.313,0.1054,Beijing
WSOCbb,C22H33NO7S,-0.313,0.1054,Beijing
WSOCbb,C22H33NO8,-0.198,0.3122,Beijing
WSOCbb,C22H33NO8S,0.578,0.0013,Beijing
WSOCbb,C22H33NO9,0.273,0.1591,Beijing
WSOCbb,C22H33NO9S,0.655,2.00E-04,Beijing
WSOCbb,C22H34N2O6,0.655,2.00E-04,Beijing
WSOCbb,C22H34O10,-0.308,0.1103,Beijing
WSOCbb,C22H34O10S,0.679,1.00E-04,Beijing
WSOCbb,C22H34O11S,0.679,1.00E-04,Beijing
WSOCbb,C22H34O12,0.679,1.00E-04,Beijing
WSOCbb,C22H34O12S,0.679,1.00E-04,Beijing
WSOCbb,C22H34O3,-0.759,0,Beijing
WSOCbb,C22H34O4,-0.839,0,Beijing
WSOCbb,C22H34O5,-0.871,0,Beijing
WSOCbb,C22H34O5S,-0.871,0,Beijing
WSOCbb,C22H34O6,-0.483,0.0093,Beijing
WSOCbb,C22H34O6S,0.596,8.00E-04,Beijing
WSOCbb,C22H34O7,-0.455,0.0149,Beijing
WSOCbb,C22H34O7S,0.606,6.00E-04,Beijing
WSOCbb,C22H34O8,-0.374,0.0497,Beijing
WSOCbb,C22H34O8S,0.809,0,Beijing
WSOCbb,C22H34O9,-0.225,0.2498,Beijing
WSOCbb,C22H34O9S,0.757,0,Beijing
WSOCbb,C22H35NO10,0.757,0,Beijing
WSOCbb,C22H35NO10S,0.742,0,Beijing
